"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"julia_memcopy_triad__2293(ROCDeviceArray<Float64, 2, 1>, ROCDeviceArray<Float64, 2, 1>, ROCDeviceArray<Float64, 2, 1>, Float64, Int64) [clone .kd]",3,25201406,8400468,62.04756828095502
"julia__5_1187(ROCKernelContext, ROCDeviceArray<Float64, 2, 1>, Float64) [clone .kd]",3,15414861,5138287,37.95243171904498
